osm_name,google_name,google_address,geometry
Grünzug Josthöhe,Grünzug Lokstedt,"Rimbertweg 17F, 22529 Hamburg, Deutschland","{'location': {'lat': 53.5896295, 'lng': 9.9545776}, 'viewport': {'northeast': {'lat': 53.59146397989272, 'lng': 9.956097079892722}, 'southwest': {'lat': 53.58876432010728, 'lng': 9.953397420107276}}}"
Große Wallanlagen,Große Wallanlagen,"Holstenwall 30, 20355 Hamburg, Deutschland","{'location': {'lat': 53.5537478, 'lng': 9.9744367}, 'viewport': {'northeast': {'lat': 53.55473367989272, 'lng': 9.977239650000005}, 'southwest': {'lat': 53.55203402010727, 'lng': 9.97344585}}}"
Donners-Park,Donners Park,"Donners Park, 22763 Hamburg, Deutschland","{'location': {'lat': 53.5452571, 'lng': 9.924795399999999}, 'viewport': {'northeast': {'lat': 53.54674107989272, 'lng': 9.926853699999999}, 'southwest': {'lat': 53.54404142010728, 'lng': 9.9204861}}}"
Kupferpark,Spielplatz Kupferpark,"Farmsen - Berne, 22159 Hamburg, Deutschland","{'location': {'lat': 53.59900529999999, 'lng': 10.1194191}, 'viewport': {'northeast': {'lat': 53.60057307989272, 'lng': 10.12097782989272}, 'southwest': {'lat': 53.59787342010728, 'lng': 10.11827817010728}}}"
Trabrennbahn,Trabrennbahn Bahrenfeld,"Luruper Ch 30, 22761 Hamburg, Deutschland","{'location': {'lat': 53.57647780000001, 'lng': 9.8924625}, 'viewport': {'northeast': {'lat': 53.57804777989272, 'lng': 9.89429697989272}, 'southwest': {'lat': 53.57534812010728, 'lng': 9.891597320107277}}}"
Park am Ziegelteich,Spielplatz und Park am Ziegelteich,"Am Ziegelteich 20, 22525 Hamburg, Deutschland","{'location': {'lat': 53.5743088, 'lng': 9.9339272}, 'viewport': {'northeast': {'lat': 53.57568662989272, 'lng': 9.934675979892722}, 'southwest': {'lat': 53.57298697010727, 'lng': 9.931976320107278}}}"
Schiffbeker Moor,Schiffbeker Moor,"Schiffbeker Moor, 22119 Hamburg, Deutschland","{'location': {'lat': 53.5577386, 'lng': 10.1107477}, 'viewport': {'northeast': {'lat': 53.55924847989272, 'lng': 10.11196492989272}, 'southwest': {'lat': 53.55654882010727, 'lng': 10.10926527010728}}}"
Hempenkamp - Eichenrehmen,Wohngruppe Am Eichenrehmen,"Am Eichenrehmen 3, 22359 Hamburg, Deutschland","{'location': {'lat': 53.6464404, 'lng': 10.1846308}, 'viewport': {'northeast': {'lat': 53.64782387989272, 'lng': 10.18599272989272}, 'southwest': {'lat': 53.64512422010728, 'lng': 10.18329307010728}}}"
Loki-Schmidt-Garten,Loki-Schmidt-Garten Botanischer Garten der Universität Hamburg,"Ohnhorststraße (ohne, Hausnummer, 22609 Hamburg, Deutschland","{'location': {'lat': 53.5620176, 'lng': 9.861007899999999}, 'viewport': {'northeast': {'lat': 53.56354965, 'lng': 9.86436985}, 'southwest': {'lat': 53.55742144999999, 'lng': 9.859887249999996}}}"
Traunspark,Spielhaus Traunspark,"Ausschläger Elbdeich 1B, 20539 Hamburg, Deutschland","{'location': {'lat': 53.5309185, 'lng': 10.0437771}, 'viewport': {'northeast': {'lat': 53.53194692989273, 'lng': 10.04476027989272}, 'southwest': {'lat': 53.52924727010728, 'lng': 10.04206062010728}}}"
Viertes Wandsbeker Gehölz,Teich im 4. Wandsbeker Gehölz,"Kielmannseggstraße 80, 22043 Hamburg, Deutschland","{'location': {'lat': 53.5664388, 'lng': 10.0942244}, 'viewport': {'northeast': {'lat': 53.56782257989272, 'lng': 10.09492267989272}, 'southwest': {'lat': 53.56512292010728, 'lng': 10.09222302010728}}}"
Reemtsma-Park,Reemtsma Park,"Parkstraße 55d, 22605 Hamburg, Deutschland","{'location': {'lat': 53.5505882, 'lng': 9.875207699999999}, 'viewport': {'northeast': {'lat': 53.55223897989273, 'lng': 9.876218249999997}, 'southwest': {'lat': 53.54953932010728, 'lng': 9.872176050000004}}}"
